size,mean,std
200,34.5249080657959,1.3912838342614642
400,39.67246055603027,3.3768642993702667
600,44.33720588684082,2.7297747001368857
800,49.23531532287598,1.2643535505486383
1000,56.11208915710449,2.58796688722417
1200,60.30397415161133,1.7033708735660347
1400,64.64839935302734,2.311016470799681
1600,68.37446212768555,1.6783890557731385
1800,74.01171684265137,2.563535445691351
2000,77.51747131347656,2.084528437053476
2200,81.5914535522461,2.39238493646715
2400,84.48357582092285,2.655294091506779
2600,90.49036026000977,2.3045651611003466
2800,93.18560600280762,1.5389960329822001
3000,96.85967445373535,1.7003836050741783
